股票代码,股票名,年报日期,净资产收益率(%)
sz300768,迪普科技,20151231,4.7586
sz300774,倍杰特,20151231,31.9961
sz300785,值得买,20151231,23.3408
sz300789,唐源电气,20151231,52.5575
sz300790,宇瞳光学,20151231,30.1596
sz300791,仙乐健康,20151231,29.5965
sz300792,壹网壹创,20151231,36.9678
sz300793,佳禾智能,20151231,1.3415
sz300797,钢研纳克,20151231,11.541
sz300798,锦鸡股份,20151231,14.8436
sz300799,*ST左江,20151231,57.8259
sz300800,力合科技,20151231,15.2649
sz300801,泰和科技,20151231,13.8047
sz300802,矩子科技,20151231,20.0027
sz300805,电声股份,20151231,36.7053
sz300806,斯迪克,20151231,7.2312
sz300808,久量股份,20151231,21.1938
sz300809,华辰装备,20151231,9.3893
sz300810,中科海讯,20151231,25.6103
sz300811,铂科新材,20151231,19.1961
sz300812,易天股份,20151231,43.774
sz300815,玉禾田,20151231,37.2832
sz300816,艾可蓝,20151231,11.8542
sz300817,双飞股份,20151231,12.2616
sz300818,耐普矿机,20151231,9.829
sz300819,聚杰微纤,20151231,38.2827
sz300820,英杰电气,20151231,7.7229
sz300821,东岳硅材,20151231,-6.5355
sz300823,建科机械,20151231,5.1774
sz300824,北鼎股份,20151231,14.4322
sz300826,测绘股份,20151231,20.0697
sz300827,上能电气,20151231,37.593
sz300830,金现代,20151231,1.7556
sz300831,派瑞股份,20151231,7.5184
sz300832,新产业,20151231,30.4984
sz300833,浩洋股份,20151231,27.7977
sz300836,佰奥智能,20151231,26.7935
sz300840,酷特智能,20151231,12.453
sz300843,胜蓝股份,20151231,30.8549
sz300847,中船汉光,20151231,12.0931
sz300848,美瑞新材,20151231,26.5057
sz300849,锦盛新材,20151231,15.2497
sz300851,交大思诺,20151231,16.9971
sz300853,申昊科技,20151231,22.5106
sz300854,中兰环保,20151231,14.3642
sz300855,图南股份,20151231,3.6503
sz300856,科思股份,20151231,7.7615
sz300858,科拓生物,20151231,66.4876
sz300859,*ST西域,20151231,17.9676
sz300860,锋尚文化,20151231,20.3464
sz300861,美畅股份,20151231,-1.6711
sz300866,安克创新,20151231,257.5544
sz300868,杰美特,20151231,7.6162
sz300872,天阳科技,20151231,38.8213
sz300875,捷强装备,20151231,19.358
sz300877,金春股份,20151231,22.7451
sz300878,维康药业,20151231,48.0383
sz300883,龙利得,20151231,11.6833
sz300886,华业香料,20151231,27.392
sz300888,稳健医疗,20151231,18.0209
sz300890,翔丰华,20151231,10.1546
sz300891,惠云钛业,20151231,-2.5167
sz300892,品渥食品,20151231,331.8377
sz300895,铜牛信息,20151231,20.3196
sz300896,爱美客,20151231,14.7271
sz300897,山科智能,20151231,19.9746
sz300899,上海凯鑫,20151231,17.1669
sz300900,广联航空,20151231,12.031
sz300902,国安达,20151231,13.4514
sz300906,日月明,20151231,28.4664
sz300908,仲景食品,20151231,22.4505
sz300909,汇创达,20151231,2.3918
sz300912,凯龙高科,20151231,-9.4327
sz300915,海融科技,20151231,20.2206
sz300920,润阳科技,20151231,10.6635
sz300925,法本信息,20151231,33.0628
sz300928,华安鑫创,20151231,26.0913
sz300935,盈建科,20151231,39.5613
sz300938,信测标准,20151231,23.9441
sz300945,曼卡龙,20151231,9.2214
sz300948,冠中生态,20151231,5.3748
sz300949,奥雅股份,20151231,32.0341
sz300950,德固特,20151231,10.4871
sz300953,震裕科技,20151231,13.8799
sz300958,建工修复,20151231,12.6659
sz300959,线上线下,20151231,82.1146
sz300960,通业科技,20151231,22.4762
sz300962,中金辐照,20151231,6.5515
sz300964,本川智能,20151231,49.2424
sz300968,格林精密,20151231,9.697
sz300970,华绿生物,20151231,40.3763
sz300971,博亚精工,20151231,11.204
sz300975,商络电子,20151231,45.9978
sz300976,达瑞电子,20151231,27.6844
sz300980,祥源新材,20151231,31.4529
sz300981,中红医疗,20151231,24.6629
sz300983,尤安设计,20151231,44.2336
sz300986,志特新材,20151231,19.2072
sz300987,川网传媒,20151231,15.0032
sz300988,津荣天宇,20151231,10.2674
sz300991,创益通,20151231,41.4963
sz300996,普联软件,20151231,21.948
sz301001,凯淳股份,20151231,48.8979
sz301002,崧盛股份,20151231,46.748
sz301007,德迈仕,20151231,24.5426
sz301011,华立科技,20151231,4.4234
sz301015,百洋医药,20151231,8.9185
sz301017,漱玉平民,20151231,12.6989
sz301018,申菱环境,20151231,13.3064
sz301020,密封科技,20151231,-6.1367
sz301024,霍普股份,20151231,34.8452
sz301026,浩通科技,20151231,15.5482
sz301028,东亚机械,20151231,28.9019
sz301030,仕净科技,20151231,38.4833
sz301031,中熔电气,20151231,27.456
sz301035,润丰股份,20151231,17.1402
sz301040,中环海陆,20151231,9.8418
sz301042,安联锐视,20151231,13.6438
sz301046,能辉科技,20151231,29.8879
sz301057,汇隆新材,20151231,6.7796
sz301060,兰卫医学,20151231,32.6887
sz301062,上海艾录,20151231,14.1513
sz301067,显盈科技,20151231,31.9954
sz301069,凯盛新材,20151231,13.5699
sz301070,开勒股份,20151231,50.2633
